__main__:__main__:random
__main__:Game|Size5|npred1|nprey1
__main__:23/03 09:48
__main__:Episode: 99 | Average steps: 22.42
__main__:Episode: 199 | Average steps: 31.7
__main__:Episode: 299 | Average steps: 30.78
__main__:Episode: 399 | Average steps: 26.62
__main__:Episode: 499 | Average steps: 24.2
__main__:Episode: 599 | Average steps: 20.32
__main__:Episode: 699 | Average steps: 26.28
__main__:Episode: 799 | Average steps: 25.22
__main__:Episode: 899 | Average steps: 27.34
__main__:Episode: 999 | Average steps: 24.52
__main__:Episode: 1099 | Average steps: 26.72
__main__:Episode: 1199 | Average steps: 22.36
__main__:Episode: 1299 | Average steps: 28.9
__main__:Episode: 1399 | Average steps: 21.94
__main__:Episode: 1499 | Average steps: 30.76
__main__:Episode: 1599 | Average steps: 22.7
__main__:Episode: 1699 | Average steps: 29.62
__main__:Episode: 1799 | Average steps: 23.78
__main__:Episode: 1899 | Average steps: 27.94
__main__:Episode: 1999 | Average steps: 27.14
__main__:Episode: 2099 | Average steps: 23.2
__main__:Episode: 2199 | Average steps: 19.78
__main__:Episode: 2299 | Average steps: 29.0
__main__:Episode: 2399 | Average steps: 28.88
__main__:Episode: 2499 | Average steps: 30.32
__main__:Episode: 2599 | Average steps: 26.98
__main__:Episode: 2699 | Average steps: 32.08
__main__:Episode: 2799 | Average steps: 29.86
__main__:Episode: 2899 | Average steps: 26.88
__main__:Episode: 2999 | Average steps: 33.14
__main__:Episode: 3099 | Average steps: 34.26
__main__:Episode: 3199 | Average steps: 28.4
__main__:Episode: 3299 | Average steps: 26.92
__main__:Episode: 3399 | Average steps: 35.72
__main__:Episode: 3499 | Average steps: 29.6
__main__:Episode: 3599 | Average steps: 22.02
__main__:Episode: 3699 | Average steps: 27.5
__main__:Episode: 3799 | Average steps: 25.52
__main__:Episode: 3899 | Average steps: 35.26
__main__:Episode: 3999 | Average steps: 24.26
__main__:Episode: 4099 | Average steps: 28.14
__main__:Episode: 4199 | Average steps: 32.18
__main__:Episode: 4299 | Average steps: 29.76
__main__:Episode: 4399 | Average steps: 27.86
__main__:Episode: 4499 | Average steps: 28.7
__main__:Episode: 4599 | Average steps: 27.2
__main__:Episode: 4699 | Average steps: 29.16
__main__:Episode: 4799 | Average steps: 25.7
__main__:Episode: 4899 | Average steps: 20.6
__main__:Episode: 4999 | Average steps: 34.7
__main__:Episode: 5099 | Average steps: 25.54
__main__:Episode: 5199 | Average steps: 32.16
__main__:Episode: 5299 | Average steps: 26.78
__main__:Episode: 5399 | Average steps: 26.62
__main__:Episode: 5499 | Average steps: 23.74
__main__:Episode: 5599 | Average steps: 32.56
__main__:Episode: 5699 | Average steps: 29.16
__main__:Episode: 5799 | Average steps: 27.02
__main__:Episode: 5899 | Average steps: 25.2
__main__:Episode: 5999 | Average steps: 22.66
__main__:Episode: 6099 | Average steps: 25.66
__main__:Episode: 6199 | Average steps: 27.18
__main__:Episode: 6299 | Average steps: 25.9
__main__:Episode: 6399 | Average steps: 22.64
__main__:Episode: 6499 | Average steps: 36.48
__main__:Episode: 6599 | Average steps: 23.02
__main__:Episode: 6699 | Average steps: 27.74
__main__:Episode: 6799 | Average steps: 26.66
__main__:Episode: 6899 | Average steps: 28.86
__main__:Episode: 6999 | Average steps: 23.3
__main__:Episode: 7099 | Average steps: 24.54
__main__:Episode: 7199 | Average steps: 28.52
__main__:Episode: 7299 | Average steps: 25.08
__main__:Episode: 7399 | Average steps: 24.7
__main__:Episode: 7499 | Average steps: 35.38
__main__:Episode: 7599 | Average steps: 23.52
__main__:Episode: 7699 | Average steps: 31.04
__main__:Episode: 7799 | Average steps: 28.76
__main__:Episode: 7899 | Average steps: 21.48
__main__:Episode: 7999 | Average steps: 20.12
__main__:Episode: 8099 | Average steps: 24.86
__main__:Episode: 8199 | Average steps: 32.16
__main__:Episode: 8299 | Average steps: 23.0
__main__:Episode: 8399 | Average steps: 22.86
__main__:Episode: 8499 | Average steps: 24.44
__main__:Episode: 8599 | Average steps: 35.86
__main__:Episode: 8699 | Average steps: 24.54
__main__:Episode: 8799 | Average steps: 32.58
__main__:Episode: 8899 | Average steps: 28.92
__main__:Episode: 8999 | Average steps: 25.56
__main__:Episode: 9099 | Average steps: 22.74
__main__:Episode: 9199 | Average steps: 26.64
__main__:Episode: 9299 | Average steps: 20.7
__main__:Episode: 9399 | Average steps: 26.68
__main__:Episode: 9499 | Average steps: 25.9
__main__:Episode: 9599 | Average steps: 19.54
__main__:Episode: 9699 | Average steps: 23.94
__main__:Episode: 9799 | Average steps: 21.98
__main__:Episode: 9899 | Average steps: 23.54
__main__:Episode: 9999 | Average steps: 28.46
