"episodes_total","training.model.use_lstm: true - _step","training.model.use_lstm: true - _step__MIN","training.model.use_lstm: true - _step__MAX","training.model.use_lstm: true - episode_len_mean","training.model.use_lstm: true - episode_len_mean__MIN","training.model.use_lstm: true - episode_len_mean__MAX"
"2","0","0","0","101","101","101"
"100","1","1","1","101","101","101"
"200","2","2","2","101","101","101"
"300","3","3","3","101","101","101"
"400","4","4","4","101","101","101"
"500","5","5","5","100.943125","100.54","101"
"600","6","6","6","100.97125","100.62","101"
"700","7","7","7","100.65312500000002","98.17","101"
"800","8","8","8","100.32124999999999","98.05","101"
"900","9","9","9","100.18133333333331","97.44","101"
"901","9","9","9","97.28","97.28","97.28"
"1000","10","10","10","100.11785714285713","96.76","101"
"1002","10","10","10","94.945","92.66","97.23"
"1100","11","11","11","99.53999999999999","93.92","101"
"1101","11","11","11","94.66","94.66","94.66"
"1102","11","11","11","99.32","99.32","99.32"
"1103","11","11","11","96.71","96.71","96.71"
"1200","12","12","12","99.79454545454546","97.48","101"
"1201","12","12","12","97.295","96.78","97.81"
"1203","12","12","12","92.75666666666666","89.66","97.56"
"1300","13","13","13","99.694","95.42","101"
"1301","13","13","13","96.96","96.96","96.96"
"1302","13","13","13","93.315","89.31","97.32"
"1304","13","13","13","92.485","91.98","92.99"
"1306","13","13","13","91.7","91.7","91.7"
"1400","14","14","14","99.6066666666667","97.96","101"
"1401","14","14","14","94.975","91.78","98.17"
"1403","14","14","14","94.82","94.82","94.82"
"1404","14","14","14","89.55","89.55","89.55"
"1405","14","14","14","91.61500000000001","90.62","92.61"
"1414","14","14","14","80.09","80.09","80.09"
"1500","15","15","15","99.41874999999999","96.64","101"
"1501","15","15","15","95.1","91.98","98.22"
"1503","15","15","15","91.98500000000001","91.54","92.43"
"1506","15","15","15","89.95","89.95","89.95"
"1507","15","15","15","88.74","88.74","88.74"
"1508","15","15","15","83.63","83.63","83.63"
"1519","15","15","15","86.59","86.59","86.59"
"1600","16","16","16","98.36428571428573","94.45","100.85"
"1601","16","16","16","96.64500000000001","95.39","97.9"
"1604","16","16","16","89.62","89.62","89.62"
"1606","16","16","16","89.175","87.99","90.36"
"1607","16","16","16","95.01","95.01","95.01"
"1609","16","16","16","89.95","89.95","89.95"
"1612","16","16","16","92.26","92.26","92.26"
"1620","16","16","16","94.17","94.17","94.17"
"1700","17","17","17","99.3775","96.39","100.95"
"1701","17","17","17","96.255","95.57","96.94"
"1702","17","17","17","93.56","93.56","93.56"
"1703","17","17","17","93.17","93.17","93.17"
"1704","17","17","17","88.91","88.91","88.91"
"1707","17","17","17","87.995","87.75","88.24"
"1709","17","17","17","94.1","94.1","94.1"
"1710","17","17","17","87.97","87.97","87.97"
"1713","17","17","17","89.22999999999999","88.75","89.71"
"1722","17","17","17","92.6","92.6","92.6"
"1800","18","18","18","100.23333333333333","100.06","100.4"
"1801","18","18","18","95.55","94.32","96.22"
"1803","18","18","18","95.99","95.99","95.99"
"1804","18","18","18","91.515","91.43","91.6"
"1809","18","18","18","88.42","88.42","88.42"
"1810","18","18","18","92.6","92.6","92.6"
"1811","18","18","18","90.04","90.04","90.04"
"1812","18","18","18","84.54","84.54","84.54"
"1816","18","18","18","88.96000000000001","88.91","89.01"
"1826","18","18","18","87.34","87.34","87.34"
"1900","19","19","19","99.45","98.6","101"
"1901","19","19","19","95.44666666666667","93.68","96.87"
"1903","19","19","19","95.93","95.93","95.93"
"1904","19","19","19","94.05","92.61","95.49"
"1910","19","19","19","91.54","91.54","91.54"
"1913","19","19","19","90.44","90.44","90.44"
"1915","19","19","19","85.86","85.86","85.86"
"1917","19","19","19","91.8","91.8","91.8"
"1918","19","19","19","85.65","85.65","85.65"
"1922","19","19","19","81.83","81.83","81.83"
"1933","19","19","19","83.16","83.16","83.16"
"2000","20","20","20","99.83999999999999","97.82","100.89"
"2002","20","20","20","92.525","90.2","94.85"
"2003","20","20","20","98.42","98.42","98.42"
"2005","20","20","20","93.84","91.74","95.94"
"2006","20","20","20","90.95","90.95","90.95"
"2015","20","20","20","82.84","82.84","82.84"
"2018","20","20","20","84.22","84.22","84.22"
"2019","20","20","20","88.17","88.17","88.17"
"2022","20","20","20","96.97","96.97","96.97"
"2025","20","20","20","80.48","80.48","80.48"
"2029","20","20","20","79.84","79.84","79.84"
"2050","20","20","20","72.27","72.27","72.27"
"2100","21","21","21","98.935","97.72","100.15"
"2102","21","21","21","96.65","96.65","96.65"
"2103","21","21","21","92.97","92.97","92.97"
"2104","21","21","21","92.415","89.79","95.04"
"2108","21","21","21","92.50666666666666","91.42","93.5"
"2118","21","21","21","87.83","87.83","87.83"
"2122","21","21","21","85.25","85.25","85.25"
"2124","21","21","21","87.67","87.67","87.67"
"2126","21","21","21","84.13","84.13","84.13"
"2135","21","21","21","83.56","83.56","83.56"
"2140","21","21","21","74.72","74.72","74.72"
"2156","21","21","21","84.65","84.65","84.65"
"2200","22","22","22","97.99000000000001","97.62","98.36"
"2202","22","22","22","96.17","96.17","96.17"
"2204","22","22","22","95.03","95.03","95.03"
"2207","22","22","22","89.18","89.18","89.18"
"2208","22","22","22","88.04","88.04","88.04"
"2209","22","22","22","92.8","92.8","92.8"
"2210","22","22","22","88.85","88.85","88.85"
"2211","22","22","22","94.26","94.26","94.26"
"2220","22","22","22","91.65","91.65","91.65"
"2225","22","22","22","90.66","90.66","90.66"
"2230","22","22","22","82.01","82.01","82.01"
"2231","22","22","22","83.67","83.67","83.67"
"2241","22","22","22","79.62","79.62","79.62"
"2249","22","22","22","83.72","83.72","83.72"
"2266","22","22","22","76.09","76.09","76.09"
"2300","23","23","23","98.03","97.25","98.81"
"2302","23","23","23","97.25","97.25","97.25"
"2307","23","23","23","87.52","87.52","87.52"
"2309","23","23","23","88.68","88.68","88.68"
"2310","23","23","23","95.21","95.21","95.21"
"2313","23","23","23","89.24","89.24","89.24"
"2314","23","23","23","82.82","82.82","82.82"
"2315","23","23","23","87.37","87.37","87.37"
"2321","23","23","23","89.59","89.59","89.59"
"2325","23","23","23","91.62","91.62","91.62"
"2339","23","23","23","80.17","80.17","80.17"
"2341","23","23","23","81.22","81.22","81.22"
"2346","23","23","23","80.88","80.88","80.88"
"2357","23","23","23","81.85","81.85","81.85"
"2376","23","23","23","79.32","79.32","79.32"
"2400","24","24","24","98.14","98.12","98.16"
"2402","24","24","24","94.05","94.05","94.05"
"2411","24","24","24","90.355","88.59","92.12"
"2413","24","24","24","90.19","90.19","90.19"
"2416","24","24","24","88.97999999999999","88.55","89.41"
"2417","24","24","24","88.84","88.84","88.84"
"2421","24","24","24","96.77","96.77","96.77"
"2429","24","24","24","85.16","85.16","85.16"
"2442","24","24","24","87.24","87.24","87.24"
"2448","24","24","24","79.93","79.93","79.93"
"2455","24","24","24","78.86","78.86","78.86"
"2459","24","24","24","89.46","89.46","89.46"
"2482","24","24","24","79.37","79.37","79.37"
"2500","25","25","25","101","101","101"
"2502","25","25","25","93.705","90.53","96.88"
"2511","25","25","25","95.25","94.33","96.17"
"2516","25","25","25","88.87","88.87","88.87"
"2518","25","25","25","86.34","86.34","86.34"
